run,version,n_estimators,max_depth,rmse,r2,kg_co2
v1-200-6,v1,200,6,22447941.809528977,-0.00011025390258301293,1.7485513607015563e-05
v1-600-12,v1,600,12,22447939.080342207,-0.00011001071881766578,7.743411499149485e-05
v2-200-6,v2,200,6,22447941.81619735,-0.00011025449676749233,3.0386579389286955e-05
v2-600-12,v2,600,12,22447939.240775295,-0.00011002501418211352,0.00014002108639063636
